int,missing_dist
2091,0
1168,0
2249,0
613,0
822,0
0,0
1189,0
2167,0
118,0
4830,0
998,0
762,0
1826,0
14878,0
14878,0
967,0
2541,0
338,0
912,0
536,0
12455,0
780,0
2398,0
1306,0
2648,0
17271,0
432,0
1112,0
724,0
2679,0
233122,0
2760,0
1969,0
1504,0
7573,0
7118,0
6422,0
1099,0
1099,0
432,0
1757,0
341,0
2161,0
1757,0
548,0
1379,0
5172,0
5172,0
552,0
2044,0
7551,0
3990,0
3115,0
2418,0
9432,0
5831,0
9129,0
14776,0
5437,0
1660,0
2219,0
1998,0
1052,0
737,0
1217,0
4428,0
1210,0
1210,0
1187,0
498,0
6645,0
107688,0
127456,0
8730,0
1099,0
62407,0
877,0
30029,0
17053,0
1159,0
56161,0
312,0
1000,0
2998,0
518,0
556,0
1457,0
2234,0
3330,0
668,0
7965,0
1410,0
1512,0
399,0
2826,0
3727,0
1761,0
6115,0
4326,0
76,0
2460,0
9623,0
1866,0
2423,0
802,0
9223,0
8556,0
923,0
923,0
3269,0
1471,0
784,0
17107,0
32227,0
15514,0
4404,0
3137,0
1384,0
1449,0
6532,0
3177,0
27297,0
537,0
2376,0
643,0
1908,0
2191,0
1954,0
446,0
603,0
752,0
558,0
1487,0
2067,0
3647,0
927,0
1602,0
11132,0
2317,0
1725,0
3508,0
1016,0
2443,0
2106,0
1821,0
2137,0
2202,0
589,0
3300,0
1040,0
2364,0
5846,0
2763,0
1012,0
1161,0
916,0
1459,0
75549,0
4281,0
1075,0
91425,0
14651,0
602,0
708,0
8181,0
3722,0
1345,0
1898,0
917,0
11822,0
4209,0
4427,0
5198,0
4541,0
1669,0
1044,0
13843,0
1225,0
1615,0
732,0
4903,0
757,0
1275,0
21130,0
2907,0
1126,0
2685,0
3657,0
4934,0
74943,0
1150,0
821,0
668,0
1349,0
594,0
3904,0
0,0
114,0
3270,0
3606,0
61791,0
61791,0
1312,0
1645,0
1211,0
530758,0
700534,0
797682,0
336050,0
0,0
1987,0
1058,0
271430,0
116085,0
2487,0
3749,0
3910,0
3469,0
13128,0
2325,0
10298,0
3286,0
2736,0
2487,0
822,0
224,0
790,0
945,0
914,0
2262,0
276,0
3613,0
4984,0
3405,0
859,0
1131,0
1360,0
1863,0
0,0
4066,0
2717,0
2059,0
2291,0
1517,0
1130,0
4578,0
1933,0
1933,0
936,0
1846,0
693,0
921,0
1215,0
27152,0
14431,0
8715,0
21306,0
31738,0
4328,0
1204,0
0,0
1035,0
2410,0
1035,0
2258,0
4618,0
559,0
1104,0
1988,0
2852,0
22704,0
41355,0
288,0
473,0
0,0
6230,0
7462,0
7302,0
4881,0
481,0
2969,0
1385,0
38,0
1932,0
1789,0
1415,0
1292,0
1089,0
1614,0
913,0
703,0
765,0
705,0
298,0
986,0
1078,0
1105,0
1330,0
946,0
523,0
905,0
2216,0
1602,0
630,0
2522,0
752,0
2485,0
8681,0
13036,0
2268589,0
2394,0
2974,0
5968,0
5540,0
4976,0
2306,0
2561,0
5403,0
5292,0
5710,0
2433,0
9142,0
1899820,0
5403,0
7553,0
8422,0
4085,0
3223,0
5888,0
17618,0
5941,0
2108082,0
7881,0
5882,0
6019,0
2754,0
4575,0
9608,0
9606,0
22409,0
130275,0
133718,0
133718,0
130275,0
2448,0
236783,0
543,0
11661,0
601,0
9336,0
1878,0
174,0
817,0
1878,0
1281,0
1792,0
584,0
850,0
2035,0
8070,0
753,0
1958,0
925,0
2914,0
13054,0
4331,0
4331,0
119454,0
860,0
961,0
1388,0
1761,0
919,0
80,0
2394,0
4307,0
1385,0
2654,0
859,0
3593,0
551,0
639,0
54964,0
1331,0
5293,0
5833,0
825,0
49850,0
6778,0
4780,0
4815,0
3738,0
93796,0
2261,0
5442,0
5442,0
1222,0
416,0
623,0
416,0
15690,0
1269,0
3261,0
2175,0
15690,0
745,0
397,0
11951,0
1905,0
301573,0
887,0
1258,0
1296,0
33362,0
33362,0
1424,0
15247,0
28824,0
15247,0
17558,0
4234,0
15617,0
3202,0
3373,0
14477,0
781577,0
28824,0
3710,0
1094,0
2302,0
599,0
0,0
420,0
2133,0
10392,0
846,0
1096,0
1096,0
2649,0
684,0
45268,0
1740,0
82542,0
480661,0
1609,0
4899,0
103359,0
3598,0
1319,0
912,0
834,0
1345,0
3149,0
1097,0
7745,0
20923,0
6220,0
416,0
1969,0
19,0
20744,0
4413,0
835,0
67304,0
2544,0
1359,0
1197,0
293,0
2431,0
777,0
2365,0
2431,0
2978,0
1560,0
1548,0
1392,0
1983,0
20012,0
11622,0
16230,0
14856,0
8722,0
3660,0
3930,0
3277,0
5313,0
4519,0
997,0
2656,0
1348,0
3152,0
848,0
1505,0
2656,0
5328,0
2509,0
2058,0
167,0
8064,0
1792,0
842,0
14028,0
4966,0
70,0
4996,0
2643,0
14397,0
12296,0
75024,0
2448,0
2698,0
249,0
769,0
1321,0
3798,0
889,0
6504,0
1436,0
7486,0
1272,0
2023,0
6873,0
1272,0
7486,0
845,0
1125,0
3793,0
2881,0
650,0
1435,0
4662,0
7950,0
33901,0
2364,0
118690,0
729,0
7090,0
1611,0
1178,0
2745,0
3413,0
4800,0
1923,0
1427,0
10974,0
2044,0
2044,0
210,0
89170,0
2523,0
2677,0
1438,0
5452,0
2936,0
2788,0
1066,0
5882,0
4659,0
2403,0
3788,0
3441,0
2794,0
2238,0
5344,0
2995,0
2628,0
1808,0
3323,0
2444,0
2281,0
1858,0
2573,0
1079,0
2854,0
748,0
6270,0
11708,0
1722,0
5520,0
882,0
1414,0
295,0
1434,0
3774,0
3721,0
33438,0
1653,0
4369,0
14856,0
1030,0
12915,0
236,0
0,0
14441,0
14441,0
27017,0
1336,0
27017,0
2976,0
2313,0
29694,0
12358,0
3432,0
2444,0
133670,0
12844,0
770,0
626,0
798,0
0,0
5404,0
278,0
1257,0
1318,0
0,0
1713,0
2234,0
34223,0
17032,0
171260,0
26840,0
241406,0
82876,0
117718,0
10378,0
22537,0
6506,0
4077,0
2420,0
1086,0
1458,0
3452,0
4635,0
4314,0
3265,0
13502,0
15764,0
2039,0
706,0
22433,0
1191,0
2191,0
3045,0
10218,0
4173,0
1210,0
50,0
2225,0
5308,0
7017,0
8404,0
4868,0
8404,0
6038,0
811,0
11780,0
2960,0
10795,0
1658,0
11559,0
1366,0
1364,0
686,0
25344,0
1392,0
2861,0
120205,0
8806,0
103225,0
2730,0
2294,0
47117,0
108717,0
68023,0
6805,0
5807,0
1626,0
822,0
922,0
1486,0
1710,0
6701,0
14604,0
996,0
959,0
1748,0
1572,0
2384,0
908,0
6731,0
7850,0
270,0
777,0
607,0
1628,0
940,0
1055,0
1304,0
1194,0
46186,0
73728,0
73728,0
1257,0
1257,0
939,0
3926,0
995,0
1006,0
621,0
1094,0
1077,0
1897,0
2861,0
4744,0
510,0
4627,0
9667,0
5495,0
3178,0
1726,0
52877,0
8485,0
52877,0
27049,0
94,0
9759,0
5408,0
1777,0
1684,0
21085,0
1292,0
2128,0
83245,0
286790,0
59423,0
200970,0
3022,0
2297,0
4460,0
713,0
568,0
713,0
16362,0
12460,0
203218,0
11811,0
1636,0
1583,0
0,0
17954,0
24355,0
3914,0
63746,0
0,0
19371,0
7556,0
93589,0
1096,0
1066,0
935,0
1366,0
906,0
691,0
581,0
1427230,0
709,0
0,0
486,0
5987,0
31372,0
2067,0
251,0
868,0
943,0
7576,0
1556,0
1137,0
3771,0
273,0
1137,0
498,0
41157,0
18793,0
9385,0
31816,0
650,0
3004,0
0,0
451,0
19802,0
18593,0
3637,0
21129,0
1041,0
739,0
1074,0
259,0
933,0
706,0
1169,0
1181,0
1453,0
998,0
998,0
915,0
915,0
1666,0
1666,0
2688,0
5637,0
2802,0
816,0
330,0
815,0
1310,0
389,0
717,0
1576,0
1576,0
2352,0
27,0
997,0
1207,0
176,0
18120,0
77344,0
1297,0
3271,0
5171,0
5171,0
1773,0
1773,0
2252,0
2141,0
279,0
1133,0
7902,0
1506,0
1460,0
2345,0
15415,0
486637,0
19585,0
2096,0
1417,0
1470,0
1673,0
1558,0
1030,0
438,0
1558,0
545,0
866,0
1257,0
3046,0
4600,0
17702,0
1184,0
1500,0
35763,0
2385,0
22376,0
70712,0
2773,0
2839,0
1939,0
14562,0
4520,0
2616,0
1182,0
6668,0
845,0
2877,0
2136,0
1951,0
2269,0
3139,0
10918,0
1181282,0
2414,0
7963,0
4201,0
768,0
1851,0
1851,0
1109,0
1549,0
14356,0
2918,0
1454,0
2571,0
984,0
927,0
9597,0
18660,0
1093,0
1079,0
18660,0
1074,0
534,0
1896,0
3568,0
1883,0
93790,0
147878,0
199616,0
2642,0
3667,0
51186,0
1193,0
1658,0
85168,0
7240,0
8078,0
9830,0
809,0
0,0
2306,0
1845,0
1744,0
7048,0
3643,0
18281,0
12607,0
7772,0
10600,0
377731,0
14348,0
2998,0
41237,0
692,0
1082,0
1101,0
1572,0
4203,0
810,0
1746,0
1295,0
929,0
956,0
1660,0
380,0
317,0
2598,0
3112,0
1358,0
2610,0
12653,0
2952,0
3639,0
1481,0
1205,0
5429,0
4764,0
1129,0
501,0
824,0
636,0
2852,0
4446,0
1498,0
1181,0
96,0
18763,0
1575,0
23479,0
1650,0
103914,0
80559,0
1810,0
2404,0
6719,0
523,0
643,0
992,0
1519,0
15831,0
78993,0
5337,0
1260,0
15750,0
824,0
3859,0
24614,0
2616,0
1417,0
355814,0
779,0
6827,0
8237,0
4538,0
2761,0
9797,0
4827,0
536,0
4271,0
4210,0
1670,0
21508,0
25894,0
5374,0
535,0
1756,0
388255,0
1475,0
139317,0
388255,0
16312,0
1589,0
801,0
1034,0
1151,0
1145,0
1406,0
1332,0
10708,0
642,0
4867,0
55515,0
27293,0
889,0
3414,0
3414,0
686,0
3677,0
7109,0
437,0
3111,0
3111,0
1261,0
503,0
807,0
4258,0
9278,0
397,0
1175,0
1625,0
4204,0
1602,0
196,0
2350,0
2350,0
1623,0
1783,0
1096,0
2056,0
1734,0
460,0
674,0
13907,0
375,0
1613,0
4325,0
201567,0
130597,0
20947,0
201567,0
36589,0
20947,0
30492,0
0,0
5003,0
11324,0
1030,0
1956,0
4357,0
785,0
1126,0
610,0
1881,0
3816,0
18395,0
3038,0
890,0
9540,0
7818,0
843,0
5680,0
13852,0
1132,0
2119,0
94,0
7931,0
652,0
2477,0
12669,0
1043,0
17562,0
11227,0
1657,0
1282,0
5865,0
22818,0
808,0
2415,0
1182,0
23817,0
1096,0
5333,0
811,0
591,0
1153,0
432,0
902,0
6243,0
780,0
1250,0
177,0
1838,0
3676,0
2047,0
1092,0
1915,0
760,0
2838,0
1564,0
2150,0
3355,0
2292,0
26742,0
4528,0
0,0
163,0
744,0
161,0
972,0
15752,0
929,0
5142,0
70975,0
9554,0
4836,0
21056,0
4396,0
13719,0
33112,0
32860,0
1148,0
813,0
899,0
1998,0
1196,0
1041,0
1433,0
2382,0
2917,0
296,0
3848,0
1447,0
757,0
